Time,Gyro Meas X,Gyro Meas Y,Gyro Meas Z,Acc Meas X,Acc Meas Y,Acc Meas Z
0.00,0.16224,-0.03504,0.01960,-0.00171,0.00016,1.00443
0.02,-0.05150,-0.00450,-0.11780,0.00219,0.00163,0.99906
0.04,-0.01333,-0.05794,-0.13307,-0.00074,-0.00423,0.99637
0.06,0.07827,0.01076,-0.01093,-0.00147,0.00187,0.99613
0.08,0.02484,-0.09611,-0.06437,-0.00098,-0.00008,0.99857
0.10,0.01720,0.03366,0.03487,-0.00171,0.00041,0.99881
0.12,0.04011,0.04130,0.17991,-0.00098,0.00163,0.99662
0.14,0.04774,-0.02740,0.17991,-0.00025,0.00212,0.99808
0.16,0.05537,-0.05031,-0.01856,-0.00220,-0.00179,0.99564
0.18,-0.04386,-0.03504,0.19518,-0.00001,-0.00423,0.99881
0.20,-0.03623,0.08710,0.06540,0.00683,-0.00130,0.99613
0.22,0.10117,0.09473,-0.04910,0.00048,-0.00228,0.99784
0.24,-0.05150,0.00313,-0.06437,0.00097,0.00212,0.99832
0.26,-0.06677,-0.05794,-0.02620,0.00048,0.00163,1.00052
0.28,-0.05913,-0.05794,-0.11017,0.00024,0.00358,1.00077
0.30,0.00957,-0.05794,-0.01856,-0.00367,0.00261,0.99930
0.32,0.05537,-0.06557,-0.02620,-0.00342,0.00554,0.99979
0.34,-0.12020,-0.02740,0.08831,-0.00196,0.00041,1.00516
0.36,0.04011,0.03366,0.10357,-0.00440,0.00261,1.00443
0.38,-0.08967,0.01840,0.17227,0.00122,0.00383,1.00589
0.40,0.07064,-0.00450,-0.01093,-0.00245,-0.00472,1.00345
0.42,0.02484,0.13290,0.11884,-0.00245,0.00236,1.00345
0.44,-0.12020,-0.02740,-0.17124,0.00073,0.00163,0.99930
0.46,0.03247,-0.09611,-0.01856,-0.00025,-0.00057,1.00101
0.48,-0.13547,-0.09611,0.07304,-0.00196,-0.00203,1.00248
0.50,-0.11257,-0.08847,0.00434,-0.00342,0.00065,1.00296
0.52,0.04011,0.09473,0.04250,-0.00001,-0.00081,1.00394
0.54,-0.20417,-0.01977,-0.06437,-0.00025,-0.00277,1.00296
0.56,0.12407,0.11763,-0.01856,-0.00513,0.00261,1.00492
0.58,-0.20417,0.05657,0.00434,0.00366,0.00285,1.00394
0.60,-0.10493,0.04130,0.01960,-0.00342,0.00358,1.00443
0.62,-0.02096,-0.12664,-0.14834,0.00244,-0.00179,0.99637
0.64,-0.05913,-0.09611,0.05777,-0.00001,-0.00008,1.00150
0.66,0.07827,0.03366,-0.05673,-0.00538,-0.00350,0.99784
0.68,0.12407,-0.11137,0.21808,-0.00269,0.00138,0.99613
0.70,-0.03623,-0.00450,0.11121,0.00048,0.00041,0.99759
0.72,-0.11257,-0.15718,0.08067,-0.00318,-0.00032,1.00003
0.74,0.00194,-0.16481,0.00434,-0.00294,0.00090,0.99271
0.76,-0.05913,-0.05031,0.01960,0.00439,-0.00106,1.00125
0.78,-0.10493,0.04130,-0.15597,0.00463,-0.00179,1.00443
0.80,-0.01333,-0.06557,0.04250,-0.00342,0.00334,0.99930
0.82,-0.02860,-0.18008,0.17991,-0.00001,-0.00154,0.99417
0.84,0.04011,0.11000,-0.07200,-0.00098,-0.00106,1.00565
0.86,0.07064,-0.01214,-0.04910,-0.00245,-0.00057,0.99271
0.88,0.02484,0.10237,-0.06437,-0.00294,0.00041,1.00370
0.90,0.06301,-0.36328,0.08067,0.00317,0.00016,0.99540
0.92,-0.00570,-0.08847,0.07304,0.00048,0.00846,1.00125
0.94,0.00957,0.06420,0.00434,0.00024,0.00163,1.00321
0.96,-0.08203,0.03366,-0.01093,0.00048,0.00138,0.99515
0.98,0.05537,-0.14191,0.04250,-0.00245,0.00114,0.99613
1.00,-0.06677,-0.02740,-0.01856,-0.00513,0.00138,0.99832
1.02,0.04011,0.01840,-0.05673,-0.00220,-0.00106,1.00467
1.04,0.02484,0.01076,-0.05673,-0.00245,0.00041,1.00052
1.06,-0.07440,0.01076,0.01197,-0.00220,-0.00106,0.99857
1.08,0.11644,-0.01977,0.05777,0.00073,0.00114,0.99686
1.10,-0.02860,-0.05794,0.05777,-0.00049,0.00065,0.99955
1.12,0.20041,-0.06557,0.08067,-0.00098,-0.00301,1.00003
1.14,-0.06677,0.03366,0.00434,0.00097,-0.00106,1.00492
1.16,0.07827,0.20160,-0.05673,0.00488,0.00212,0.99857
1.18,0.00957,0.07947,0.07304,0.00146,0.00456,1.00125
1.20,-0.11257,0.11000,-0.01093,0.00073,0.00114,1.00174
1.22,0.13934,-0.10374,-0.11780,-0.00123,0.00065,0.99979
1.24,-0.02860,-0.08084,-0.01856,-0.00025,-0.00008,0.99710
1.26,-0.12783,0.28557,-0.00330,0.00097,-0.00154,0.99613
1.28,-0.11257,0.10237,-0.12544,0.00073,-0.01009,0.99930
1.30,0.00194,-0.00450,0.06540,-0.00513,-0.00228,1.00199
1.32,-0.03623,0.07947,0.06540,-0.00049,0.00114,0.99784
1.34,-0.02860,-0.02740,0.03487,0.00219,0.00309,1.00052
1.36,0.00194,-0.11901,0.01960,-0.00074,0.00138,1.00052
1.38,0.12407,0.02603,0.11884,0.00048,0.00187,1.00125
1.40,0.08591,0.02603,0.07304,0.00170,0.00285,1.00077
1.42,0.00957,-0.10374,0.17227,0.00292,-0.00032,0.99759
1.44,-0.03623,0.02603,0.00434,0.00195,0.00358,1.00077
1.46,-0.14310,0.01076,-0.01093,-0.00318,-0.00301,0.99857
1.48,0.02484,-0.09611,0.12647,-0.00098,-0.00032,1.00028
1.50,0.18514,0.08710,0.01960,-0.00831,-0.00032,1.00223
1.52,0.07827,-0.03504,-0.02620,-0.00001,0.00163,0.99613
1.54,-0.02096,0.07183,0.02724,-0.00245,-0.00032,0.99540
1.56,-0.05150,0.04130,0.13411,-0.00416,-0.00423,0.99832
1.58,-0.08203,-0.07321,-0.02620,0.00244,0.00407,1.00272
1.60,0.07827,0.14817,0.05014,0.00219,0.00090,1.00663
1.62,-0.08967,-0.00450,-0.12544,0.00170,-0.00154,0.99759
1.64,0.13171,-0.09611,-0.05673,-0.00074,-0.00277,1.00199
1.66,0.05537,0.01840,-0.01856,0.00146,0.00090,1.00174
1.68,-0.11257,0.06420,0.16464,-0.00001,0.00138,1.00223
1.70,0.07827,-0.07321,-0.14834,-0.00196,-0.00325,1.00052
1.72,0.07827,0.04130,0.05014,-0.00269,-0.00081,0.99735
1.74,0.00957,0.01840,0.02724,-0.00001,-0.00057,0.99588
1.76,0.08591,-0.05794,-0.01093,-0.00220,0.00358,1.00272
1.78,0.20804,0.11763,-0.07963,0.00219,-0.00399,1.00150
1.80,-0.15073,0.07183,-0.16360,-0.00269,-0.00203,0.99906
1.82,-0.05150,-0.05031,0.01197,-0.00440,-0.00057,0.99466
1.84,0.07827,-0.00450,0.06540,0.00048,-0.00008,1.00174
1.86,-0.02860,0.01076,-0.10253,-0.00318,0.00285,0.99906
1.88,0.10881,-0.11137,-0.11780,-0.00294,-0.00057,0.99735
1.90,-0.05913,0.10237,-0.01093,0.00024,-0.00252,1.00296
1.92,0.00194,-0.03504,-0.05673,0.00073,0.00578,1.00101
1.94,-0.12783,-0.17244,0.04250,-0.00049,0.00016,0.99930
1.96,-0.12020,-0.05794,-0.01856,0.00122,0.00090,0.99881
1.98,0.08591,0.11763,0.09594,-0.00123,0.00431,1.00345
2.00,0.04774,-0.07321,0.06540,-0.00342,0.00114,1.00809
2.02,-0.10493,0.01076,-0.05673,0.00317,-0.00154,0.99588
2.04,0.01720,0.02603,-0.06437,-0.00123,-0.00130,1.00028
2.06,-0.09730,-0.16481,0.11884,-0.00196,0.00554,0.99295
2.08,0.10881,-0.22588,-0.07200,-0.00001,-0.00106,0.99906
2.10,-0.10493,-0.10374,-0.07963,0.00244,0.00261,1.00272
2.12,-0.07440,0.01076,-0.03383,-0.00001,-0.00374,0.99881
2.14,0.02484,-0.00450,-0.10253,-0.00440,0.00163,1.00174
2.16,-0.09730,0.01840,-0.00330,0.00195,0.00090,1.00052
2.18,-0.02096,0.02603,-0.04147,-0.00586,0.00358,1.00516
2.20,0.20041,0.07947,-0.05673,-0.00049,-0.00228,1.00589
2.22,0.07827,0.00313,-0.01093,-0.00001,0.00041,1.00150
2.24,0.03247,0.12527,-0.14070,-0.00196,-0.00130,0.99955
2.26,-0.04386,0.04130,0.01960,-0.00147,-0.00447,1.00418
2.28,-0.08203,0.06420,0.01197,0.00073,0.00187,0.99710
2.30,-0.13547,-0.06557,0.00434,0.00122,0.00431,1.00614
2.32,-0.21180,-0.08847,-0.13307,-0.00245,-0.00203,0.99930
2.34,0.10881,0.05657,0.01960,-0.00171,-0.00350,0.99491
2.36,0.01720,0.04130,-0.06437,-0.00123,0.00261,1.00248
2.38,-0.12783,0.01840,0.03487,0.00390,-0.00301,0.99784
2.40,-0.25760,-0.05794,0.00434,0.00366,0.00065,1.00272
2.42,-0.06677,0.11763,0.09594,0.00146,0.00016,0.99759
2.44,-0.00570,-0.07321,-0.08727,-0.00001,-0.00154,1.00223
2.46,-0.00570,-0.09611,0.17991,-0.00294,-0.00081,0.99686
2.48,-0.04386,-0.01977,-0.02620,-0.00391,0.00187,1.00077
2.50,-0.07440,-0.05031,-0.14070,-0.00001,-0.00081,0.99662
2.52,0.15461,0.06420,-0.11017,0.00048,-0.00374,1.00003
2.54,-0.10493,-0.11137,0.06540,-0.00025,-0.00179,0.99881
2.56,0.07064,0.00313,0.03487,-0.00049,0.00114,0.99930
