Time,Gyro Meas X,Gyro Meas Y,Gyro Meas Z,Acc Meas X,Acc Meas Y,Acc Meas Z
0.00,-2.59542,2.35878,0.14504,0.06763,-0.00513,1.02856
0.02,-2.45038,2.31298,0.06107,0.06958,-0.00293,1.02979
0.04,-2.60305,2.43511,0.12214,0.07227,-0.00171,1.02930
0.06,-2.64122,2.32061,0.09924,0.07300,-0.00122,1.02710
0.08,-2.54198,2.36641,0.17557,0.07251,-0.00171,1.02979
0.10,-2.62595,2.41221,0.16031,0.06909,0.00244,1.03271
0.12,-2.74809,2.42748,0.18321,0.06641,-0.00146,1.03369
0.14,-2.63359,2.38931,0.27481,0.07300,-0.00024,1.03101
0.16,-2.69466,2.38168,0.10687,0.07129,0.00000,1.03027
0.18,-2.61069,2.33588,0.09160,0.07324,0.00342,1.03174
0.20,-2.70229,2.32061,0.02290,0.07227,0.00195,1.03271
0.22,-2.61832,2.44275,0.09160,0.06763,0.00293,1.03467
0.24,-2.54962,2.45038,0.27481,0.07422,-0.00195,1.03198
0.26,-2.63359,2.35115,0.19084,0.07300,0.00269,1.03442
0.28,-2.67939,2.34351,0.11450,0.07007,-0.00073,1.03052
0.30,-2.64886,2.45802,-0.05344,0.06714,-0.00098,1.03296
0.32,-2.49618,2.41985,-0.03053,0.06787,0.00269,1.03003
0.34,-2.63359,2.31298,0.05344,0.06982,-0.00098,1.03394
0.36,-2.63359,2.32061,0.15267,0.07275,0.00146,1.03442
0.38,-2.67176,2.32824,0.13740,0.06885,0.00244,1.03418
0.40,-2.69466,2.36641,0.03053,0.07056,0.00000,1.03467
0.42,-2.57252,2.22901,0.12977,0.07007,0.00024,1.03198
0.44,-2.71756,2.20611,0.21374,0.07153,-0.00098,1.03418
0.46,-2.64122,2.45802,-0.06107,0.07275,0.00049,1.03418
0.48,-2.67176,2.18321,0.16794,0.06982,-0.00024,1.03003
0.50,-2.59542,2.34351,0.22137,0.06885,0.00293,1.03076
0.52,-2.54962,2.54962,0.19084,0.07104,0.00000,1.02954
0.54,-2.54962,2.29008,0.12214,0.07202,-0.00195,1.03540
0.56,-2.48092,2.48855,0.24427,0.06885,-0.00195,1.02563
0.58,-2.66412,2.34351,0.09924,0.06836,0.00269,1.02881
0.60,-2.58779,2.45038,0.19084,0.07373,-0.00269,1.03320
0.62,-2.54962,2.35115,0.10687,0.07251,-0.00195,1.02734
0.64,-2.70229,2.36641,0.10687,0.07056,-0.00024,1.03271
0.66,-2.61069,2.26718,0.19847,0.07080,-0.00195,1.03467
0.68,-2.59542,2.47328,0.17557,0.07153,-0.00122,1.02905
0.70,-2.50382,2.36641,0.06870,0.07104,-0.00073,1.03149
0.72,-2.50382,2.45038,0.28244,0.07056,0.00317,1.02856
0.74,-2.49618,2.10687,-0.03053,0.07056,-0.00293,1.03418
0.76,-2.53435,2.51145,0.16794,0.07324,0.00342,1.03174
